C:\Python311\Lib\site-packages\torchvision\datasets\cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
C:\Python311\Lib\site-packages\torch\utils\data\dataloader.py:1095: UserWarning: 'pin_memory' argument is set as true but no accelerator is found, then device pinned memory won't be used.
  super().__init__(loader)
epoch=01 loss=1.2388 train_acc=0.5548
epoch=02 loss=0.8812 train_acc=0.6888
epoch=03 loss=0.7467 train_acc=0.7391
epoch=04 loss=0.6596 train_acc=0.7694
epoch=05 loss=0.5940 train_acc=0.7917
epoch=06 loss=0.5374 train_acc=0.8127
epoch=07 loss=0.4859 train_acc=0.8294
epoch=08 loss=0.4391 train_acc=0.8433
epoch=09 loss=0.3976 train_acc=0.8593
epoch=10 loss=0.3580 train_acc=0.8728
position=center clean_acc=0.7675 asr=0.9817
