C:\Python311\Lib\site-packages\torchvision\datasets\cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
C:\Python311\Lib\site-packages\torch\utils\data\dataloader.py:1095: UserWarning: 'pin_memory' argument is set as true but no accelerator is found, then device pinned memory won't be used.
  super().__init__(loader)
epoch=01 loss=1.2385 train_acc=0.5573
epoch=02 loss=0.8905 train_acc=0.6853
epoch=03 loss=0.7576 train_acc=0.7334
epoch=04 loss=0.6695 train_acc=0.7646
epoch=05 loss=0.6080 train_acc=0.7875
epoch=06 loss=0.5464 train_acc=0.8110
epoch=07 loss=0.4953 train_acc=0.8265
epoch=08 loss=0.4477 train_acc=0.8405
epoch=09 loss=0.4062 train_acc=0.8553
epoch=10 loss=0.3688 train_acc=0.8683
position=middle_left clean_acc=0.7639 asr=0.9747
