C:\Python311\Lib\site-packages\torchvision\datasets\cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
C:\Python311\Lib\site-packages\torch\utils\data\dataloader.py:1095: UserWarning: 'pin_memory' argument is set as true but no accelerator is found, then device pinned memory won't be used.
  super().__init__(loader)
epoch=01 loss=1.2618 train_acc=0.5451
epoch=02 loss=0.9053 train_acc=0.6823
epoch=03 loss=0.7702 train_acc=0.7307
epoch=04 loss=0.6842 train_acc=0.7591
epoch=05 loss=0.6169 train_acc=0.7827
epoch=06 loss=0.5565 train_acc=0.8053
epoch=07 loss=0.5084 train_acc=0.8219
epoch=08 loss=0.4584 train_acc=0.8378
epoch=09 loss=0.4164 train_acc=0.8532
epoch=10 loss=0.3752 train_acc=0.8660
position=top_center clean_acc=0.7261 asr=0.9535
