C:\Python311\Lib\site-packages\torchvision\datasets\cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
C:\Python311\Lib\site-packages\torch\utils\data\dataloader.py:1095: UserWarning: 'pin_memory' argument is set as true but no accelerator is found, then device pinned memory won't be used.
  super().__init__(loader)
epoch=01 loss=1.2750 train_acc=0.5427
epoch=02 loss=0.9212 train_acc=0.6742
epoch=03 loss=0.7898 train_acc=0.7232
epoch=04 loss=0.7029 train_acc=0.7524
epoch=05 loss=0.6340 train_acc=0.7805
epoch=06 loss=0.5773 train_acc=0.7981
epoch=07 loss=0.5246 train_acc=0.8174
epoch=08 loss=0.4773 train_acc=0.8315
epoch=09 loss=0.4307 train_acc=0.8485
epoch=10 loss=0.3921 train_acc=0.8605
position=top_left clean_acc=0.7642 asr=0.9298
