C:\Python311\Lib\site-packages\torchvision\datasets\cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
C:\Python311\Lib\site-packages\torch\utils\data\dataloader.py:1095: UserWarning: 'pin_memory' argument is set as true but no accelerator is found, then device pinned memory won't be used.
  super().__init__(loader)
epoch=01 loss=1.2652 train_acc=0.5467
epoch=02 loss=0.9078 train_acc=0.6811
epoch=03 loss=0.7800 train_acc=0.7257
epoch=04 loss=0.6922 train_acc=0.7581
epoch=05 loss=0.6286 train_acc=0.7809
epoch=06 loss=0.5665 train_acc=0.8011
epoch=07 loss=0.5212 train_acc=0.8181
epoch=08 loss=0.4653 train_acc=0.8361
epoch=09 loss=0.4207 train_acc=0.8514
epoch=10 loss=0.3816 train_acc=0.8655
position=top_right clean_acc=0.7122 asr=0.9310
